,Identifies the type of dwelling involved in the sale.,Identifies the general zoning classification of the sale.,Linear feet of street connected to the property,plot size in square feet,Type of road access to property,General shape of property,Flatness of the property,Utilities,LotConfig,Slope of property,Neighborhood,Proximity to various conditions,Type of dwelling,Style of dwelling,Rates the overall material and finish of the house,Rates the overall condition of the house,Original construction date,Remodel date (same as construction date if no remodeling or additions),Type of roof,Roof material,Exterior covering on the house & Exterior covering on house (if more than one material),Masonry veneer type,Masonry veneer area in square feet,Evaluates the quality of the material on the exterior & Evaluates the present condition of the material on the exterior ,Type of foundation,Evaluates the height of the basement,Evaluate the general condition of the basement & Refers to walkout or garden-level walls,Rating of basement finished area,Type 1 finished square feet,Rating of basement finished area (if multiple types),Type 2 finished square feet,Unfinished square feet of basement area,Total square feet of basement area,Type of heating,HeatingQC,Central air conditioning,Electrical,First Floor square feet,Second-floor square feet,Low-quality finished square feet (all floors),Above grade (ground) living area square feet,Full bathrooms above grade,Half baths above grade,BedroomAbvGr,KitchenAbvGr,KitchenQual, Total rooms above grade (does not include bathrooms),Home functionality (Assume typical unless deductions are warranted),Number of fireplaces,Fireplace quality,Garage location,The year garage was built,GarageFinish,Size of garage in car capacity,Size of garage in square feet,GarageQual,GarageCond,Paved driveway,Wood deck area in square feet,Open porch area in square feet,Enclosed porch area in square feet,Three-season porch area in square feet,Screen porch area in square feet,Pool area in square feet,Pool quality,Fence,Miscellaneous feature not covered in other categories, $Value of miscellaneous feature,Month Sold (MM) & Year Sold (YYYY),Type of sale,Condition of sale,SalePrice
10,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,70,11200sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,Sawyer,Normal,Single-family Detached,One story,5,5,1965,1965,Hip,Standard (Composite) Shingle,Hard Board,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,Rec,906,Unfinished,0,134,1040,Gas forced warm air furnace,Excellent,Yes,SBrkr,1040,0,0square feet,1040,1,0,3,1,Typical/Average,5,Typical Functionality,0,No,Detached from home,1965.0,Unf,1,384square feet,Typical/Average,TA,Paved,0square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Feb&2008,Warranty Deed - Conventional,Normal Sale,129500
11,2-STORY 1946 & NEWER,Residential Low-Density,85,11924sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,Inside,Gentle slope,NridgHt,Normal,Single-family Detached,Two-story,9,5,2005,2006,Hip,Standard (Composite) Shingle,WdShing&Wd Shng,Stone ,286squarefeetsqare feet,Excellent&['ExterCond'],Poured Contrete,Excellent (100+ inches),Typical - slight dampness allowed& No Exposure,GLQ,998,Unfinished,0,177,1175,Gas forced warm air furnace,Excellent,Yes,SBrkr,1182,1142,0square feet,2324,3,0,4,1,Excellent,11,Typical Functionality,2,Good - Masonry Fireplace on the main level,Built-In (Garage part of the house - typically has room above the garage),2005.0,Fin,3,736square feet,Typical/Average,TA,Paved,147square feet,21square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Jul&2006,Home just constructed and sold, Home was not completed when last assessed (associated with New  Homes),345000
12,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,12968sqare feet,Paved,Moderately Irregular,Near Flat/Level,AllPub,Inside,Gentle slope,Sawyer,Normal,Single-family Detached,One story,5,6,1962,1962,Hip,Standard (Composite) Shingle,Hard Board&Plywood,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,ALQ,737,Unfinished,0,175,912,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,912,0,0square feet,912,1,0,2,1,Typical/Average,4,Typical Functionality,0,No,Detached from home,1962.0,Unf,1,352square feet,Typical/Average,TA,Paved,140square feet,0square feet,0square feet,0square feet,176square feet,0square feet,No,No,No,0,Sep&2008,Warranty Deed - Conventional,Normal Sale,144000
13,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,91,10652sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,Inside,Gentle slope,CollgCr,Normal,Single-family Detached,One story,7,5,2006,2007,Gable,Standard (Composite) Shingle,Vinyl Siding,Stone ,306squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed&Average Exposure (split levels or foyers typically score average or above),Unf,0,Unfinished,0,1494,1494,Gas forced warm air furnace,Excellent,Yes,SBrkr,1494,0,0square feet,1494,2,0,3,1,Good,7,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,2006.0,RFn,3,840square feet,Typical/Average,TA,Paved,160square feet,33square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Aug&2007,Home just constructed and sold, Home was not completed when last assessed (associated with New  Homes),279500
14,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,10920sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,Corner,Gentle slope,NAmes,Normal,Single-family Detached,One story,6,5,1960,1960,Hip,Standard (Composite) Shingle,Metal Siding,Brick Face,212squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,BLQ,733,Unfinished,0,520,1253,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,1253,0,0square feet,1253,1,1,2,1,Typical/Average,5,Typical Functionality,1,Fair - Prefabricated Fireplace in the basement,Attached to the home,1960.0,RFn,1,352square feet,Typical/Average,TA,Paved,0square feet,213square feet,176square feet,0square feet,0square feet,0square feet,No,Good Wood,No,0,May&2008,Warranty Deed - Conventional,Normal Sale,157000
15,1/2 STORY - UNFINISHED ALL AGES,RM,51,6120sqare feet,Paved,Regular,Near Flat/Level,AllPub,Corner,Gentle slope,BrkSide,Normal,Single-family Detached,One and one-half story: 2nd level unfinished,7,8,1929,2001,Gable,Standard (Composite) Shingle,Wood Siding,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,Unf,0,Unfinished,0,832,832,Gas forced warm air furnace,Excellent,Yes,FuseA,854,0,0square feet,854,1,0,2,1,Typical/Average,5,Typical Functionality,0,No,Detached from home,1991.0,Unf,2,576square feet,Typical/Average,TA,Paved,48square feet,112square feet,0square feet,0square feet,0square feet,0square feet,No,Good Privacy,No,0,Jul&2007,Warranty Deed - Conventional,Normal Sale,132000
16,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,11241sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,CulDSac,Gentle slope,NAmes,Normal,Single-family Detached,One story,6,7,1970,1970,Gable,Standard (Composite) Shingle,Wood Siding,Brick Face,180squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,ALQ,578,Unfinished,0,426,1004,Gas forced warm air furnace,Excellent,Yes,SBrkr,1004,0,0square feet,1004,1,0,2,1,Typical/Average,5,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1970.0,Fin,2,480square feet,Typical/Average,TA,Paved,0square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,No,Shed (over 100 SF),700,Mar&2010,Warranty Deed - Conventional,Normal Sale,149000
17,DUPLEX - ALL STYLES AND AGES,Residential Low-Density,72,10791sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,Sawyer,Normal,Duplex,One story,4,5,1967,1967,Gable,Standard (Composite) Shingle,Metal Siding,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Slab,No,No& No Exposure,No,0,No,0,0,0,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,1296,0,0square feet,1296,2,0,2,2,Typical/Average,6,Typical Functionality,0,No,Car Port,1967.0,Unf,2,516square feet,Typical/Average,TA,Paved,0square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,No,Shed (over 100 SF),500,Oct&2006,Warranty Deed - Conventional,Normal Sale,90000
18,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,66,13695sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,SawyerW,Adjacent to East-West Railroad&Normal,Single-family Detached,One story,5,5,2004,2004,Gable,Standard (Composite) Shingle,Vinyl Siding,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,GLQ,646,Unfinished,0,468,1114,Gas forced warm air furnace,Excellent,Yes,SBrkr,1114,0,0square feet,1114,1,1,3,1,Good,6,Typical Functionality,0,No,Detached from home,2004.0,Unf,2,576square feet,Typical/Average,TA,Paved,0square feet,102square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Jun&2008,Warranty Deed - Conventional,Normal Sale,159000
19,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,70,7560sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,NAmes,Normal,Single-family Detached,One story,5,6,1958,1965,Hip,Standard (Composite) Shingle,Brick Face&Plywood,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,LwQ,504,Unfinished,0,525,1029,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,1339,0,0square feet,1339,1,0,3,1,Typical/Average,6,Minor Deductions 1,0,No,Attached to the home,1958.0,Unf,1,294square feet,Typical/Average,TA,Paved,0square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,Minimum Privacy,No,0,May&2009,Court Officer Deed/Estate,"Abnormal Sale -  trade, foreclosure, short sale",139000
20,2-STORY 1946 & NEWER,Residential Low-Density,101,14215sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,Corner,Gentle slope,NridgHt,Normal,Single-family Detached,Two-story,8,5,2005,2006,Gable,Standard (Composite) Shingle,Vinyl Siding,Brick Face,380squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Excellent (100+ inches),Typical - slight dampness allowed&Average Exposure (split levels or foyers typically score average or above),Unf,0,Unfinished,0,1158,1158,Gas forced warm air furnace,Excellent,Yes,SBrkr,1158,1218,0square feet,2376,3,1,4,1,Good,9,Typical Functionality,1,Good - Masonry Fireplace on the main level,Built-In (Garage part of the house - typically has room above the garage),2005.0,RFn,3,853square feet,Typical/Average,TA,Paved,240square feet,154square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Nov&2006,Home just constructed and sold, Home was not completed when last assessed (associated with New  Homes),325300
21,1/2 STORY - UNFINISHED ALL AGES,RM,57,7449sqare feet,Paved,Regular,Banked - Quick and significant rise from street grade to building,AllPub,Inside,Gentle slope,IDOTRR,Normal,Single-family Detached,One and one-half story: 2nd level unfinished,7,7,1930,1950,Gable,Standard (Composite) Shingle,Wood Siding,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,Unf,0,Unfinished,0,637,637,Gas forced warm air furnace,Excellent,Yes,FuseF,1108,0,0square feet,1108,1,0,3,1,Good,6,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,1930.0,Unf,1,280square feet,Typical/Average,TA,Dirt/Gravel,0square feet,0square feet,205square feet,0square feet,0square feet,0square feet,No,Good Privacy,No,0,Jun&2007,Warranty Deed - Conventional,Normal Sale,139400
22,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,75,9742sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,CollgCr,Normal,Single-family Detached,One story,8,5,2002,2002,Hip,Standard (Composite) Shingle,Vinyl Siding,Brick Face,281squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed& No Exposure,Unf,0,Unfinished,0,1777,1777,Gas forced warm air furnace,Excellent,Yes,SBrkr,1795,0,0square feet,1795,2,0,3,1,Good,7,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,2002.0,RFn,2,534square feet,Typical/Average,TA,Paved,171square feet,159square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Sep&2008,Warranty Deed - Conventional,Normal Sale,230000
23,STORY PUD (Planned Unit Development) - 1946 & NEWER,RM,44,4224sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,MeadowV,Normal,Townhouse End Unit,One story,5,7,1976,1976,Gable,Standard (Composite) Shingle,Cement Board&CmentBd,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed& No Exposure,GLQ,840,Unfinished,0,200,1040,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,1060,0,0square feet,1060,1,0,3,1,Typical/Average,6,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1976.0,Unf,2,572square feet,Typical/Average,TA,Paved,100square feet,110square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Jun&2007,Warranty Deed - Conventional,Normal Sale,129900
24,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,8246sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,Inside,Gentle slope,Sawyer,Normal,Single-family Detached,One story,5,8,1968,2001,Gable,Standard (Composite) Shingle,Plywood,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed&Mimimum Exposure,Rec,188,Average Living Quarters,668,204,1060,Gas forced warm air furnace,Excellent,Yes,SBrkr,1060,0,0square feet,1060,1,0,3,1,Good,6,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1968.0,Unf,1,270square feet,Typical/Average,TA,Paved,406square feet,90square feet,0square feet,0square feet,0square feet,0square feet,No,Minimum Privacy,No,0,May&2010,Warranty Deed - Conventional,Normal Sale,154000
25,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,110,14230sqare feet,Paved,Regular,Near Flat/Level,AllPub,Corner,Gentle slope,NridgHt,Normal,Single-family Detached,One story,8,5,2007,2007,Gable,Standard (Composite) Shingle,Vinyl Siding,Stone ,640squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed& No Exposure,Unf,0,Unfinished,0,1566,1566,Gas forced warm air furnace,Excellent,Yes,SBrkr,1600,0,0square feet,1600,2,0,3,1,Good,7,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,2007.0,RFn,3,890square feet,Typical/Average,TA,Paved,0square feet,56square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Jul&2009,Warranty Deed - Conventional,Normal Sale,256300
26,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,60,7200sqare feet,Paved,Regular,Near Flat/Level,AllPub,Corner,Gentle slope,NAmes,Normal,Single-family Detached,One story,5,7,1951,2000,Gable,Standard (Composite) Shingle,Wood Siding,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed&Mimimum Exposure,BLQ,234,Average Rec Room,486,180,900,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,900,0,0square feet,900,1,0,3,1,Good,5,Typical Functionality,0,No,Detached from home,2005.0,Unf,2,576square feet,Typical/Average,TA,Paved,222square feet,32square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,May&2010,Warranty Deed - Conventional,Normal Sale,134800
27,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,98,11478sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,NridgHt,Normal,Single-family Detached,One story,8,5,2007,2008,Gable,Standard (Composite) Shingle,Vinyl Siding,Stone ,200squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Excellent (100+ inches),Typical - slight dampness allowed& No Exposure,GLQ,1218,Unfinished,0,486,1704,Gas forced warm air furnace,Excellent,Yes,SBrkr,1704,0,0square feet,1704,2,0,3,1,Good,7,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,2008.0,RFn,3,772square feet,Typical/Average,TA,Paved,0square feet,50square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,May&2010,Warranty Deed - Conventional,Normal Sale,306000
28,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,47,16321sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,CulDSac,Gentle slope,NAmes,Normal,Single-family Detached,One story,5,6,1957,1997,Gable,Standard (Composite) Shingle,Metal Siding,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed&Good Exposure,BLQ,1277,Unfinished,0,207,1484,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,1600,0,0square feet,1600,1,0,2,1,Typical/Average,6,Typical Functionality,2,Good - Masonry Fireplace on the main level,Attached to the home,1957.0,RFn,1,319square feet,Typical/Average,TA,Paved,288square feet,258square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Dec&2006,Warranty Deed - Conventional,Normal Sale,207500
